Library,Location,State,Homepage,Catalog,Current Automation System Name,Current Automation System Year,Previous Automation System Name,Previous Automation System Year,Previous Automation System_1 Name,Previous Automation System_1 Year,Previous Automation System_2 Name,Previous Automation System_2 Year,Discovery Interface Name,Discovery Interface Year,Item ID Type Name,Item ID Type Year,Previous Discovery Interface Name,Previous Discovery Interface Year,Digital Asset Magement Name,Digital Asset Magement Year,Self-Check Name,Self-Check Year,OpenURL Link resolver Name,OpenURL Link resolver Year,Federated search product Name,Federated search product Year,Electronic Resource Magement Name,Electronic Resource Magement Year,Previous Automation System_3 Name,Previous Automation System_3 Year,Automated Materials Handling Name,Automated Materials Handling Year,Web Content Magement Name,Web Content Magement Year,RFID Provider Name,RFID Provider Year,Discovery Service (w/index) Name,Discovery Service (w/index) Year,RFID Tag Vendor Name,RFID Tag Vendor Year,Catalog Enhancement Name,Catalog Enhancement Year,RFID Tag Type Name,RFID Tag Type Year,Institutiol Repository Name,Institutiol Repository Year,Research Services Tool Name,Research Services Tool Year,Previous Discovery Index Name,Previous Discovery Index Year,Archives Magement Name,Archives Magement Year,Previous Link resolver Name,Previous Link resolver Year,number_of_total_trackers_homepage,behaviour_event_listeners_homepage,canvas_fingerprinters_homepage,canvas_font_fingerprinters_homepage,cookies_homepage,fb_pixel_events_homepage,key_logging_homepage,session_recorders_homepage,third_party_trackers_homepage,google_homepage,google_analytics_homepage,facebook_homepage,number_of_total_trackers_catalog,behaviour_event_listeners_catalog,canvas_fingerprinters_catalog,canvas_font_fingerprinters_catalog,cookies_catalog,fb_pixel_events_catalog,key_logging_catalog,session_recorders_catalog,third_party_trackers_catalog,google_catalog,google_analytics_catalog,facebook_catalog
Lago Vista Community Library,"Lago Vista, TX",Texas,https://www.lagovista.lib.tx.us/,http://lagovista.biblionix.com,Apollo,2008.0,Athe,,,,,,,,,,,,,,,,,,,,,,,,,,Plinkit,,,,,,,,,,,,,,,,,,,,,,69.0,12.0,3.0,0.0,6.0,0.0,0.0,0.0,48.0,10.0,6.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lagu Vista Public Library,"Lagu Vista, TX",Texas,https://lvlibrary.org/,https://laguvista.biblionix.com/catalog/,Apollo,2008.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake Dallas Public Library,"Lake Dallas, TX",Texas,https://www.lakedallas.com/387/Lake-Dallas-Public-Library,https://lakedallas.biblionix.com/catalog/,Apollo*,2023.0,Evergreen -- MOBIUS,2020.0,Evergreen -- Emerald Data Networks,2012.0,Evergreen -- Independent,2009.0,,,,,,,,,,,,,,,,,Infocentre,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,60.0,9.0,0.0,0.0,19.0,0.0,0.0,0.0,32.0,28.0,16.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mary Lou Reddick Public Library,"Lake Worth, TX",Texas,https://www.lakeworthtx.org/library,https://lakeworth.biblionix.com/catalog/,Apollo,2008.0,Athe,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,38.0,6.0,6.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakehills Area Library,"Lakehills, TX",Texas,https://lakehills.ploud.net/,https://lakehills.biblionix.com/catalog/,Apollo,2009.0,Athe,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,16.0,12.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamb County Library,"Lamb County, TX",Texas,https://littlefield.ploud.net/,http://tlccat.bywatersolutions.com/,Apollo,2016.0,Koha -- ByWater Solutions,2013.0,Koha -- LibLime,2010.0,Winnebago Spectrum,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,16.0,12.0,0.0,16.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0
Lampasas Public Library,"Lampasas, TX",Texas,https://www.lampasas.org/,http://lampasas.biblionix.com,Apollo,2007.0,Circulation Plus,1998.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,10.0,0.0,0.0,16.0,0.0,0.0,0.0,32.0,28.0,16.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancaster Veterans Memorial Library,"Lancaster, TX",Texas,https://www.lancaster-tx.com/1408/Library,https://halan.sdp.sirsi.net/client/en_US/lan/,Koha -- ByWater Solutions,2019.0,Symphony,2013.0,Millennium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,11.0,0.0,0.0,21.0,0.0,0.0,0.0,23.0,20.0,11.0,0.0,18.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,7.0,6.0,2.0,0.0
Laredo Public Library,"Laredo, TX",Texas,https://www.laredolibrary.org/,http://catalog.laredolibrary.org/,Horizon,2006.0,Dynix,1991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helen Hall Library,"League City, TX",Texas,https://www.leaguecitytx.gov/4419/Helen-Hall-Library,https://hhal.sirsi.net,Symphony,2001.0,Dynix,1988.0,,,,,Enterprise,,RFID,,,,,,,,,,,,,,,,,,CivicPlus,,Bibliotheca,,,,,,,,,,,,,,,,,,,,70.0,11.0,0.0,0.0,23.0,0.0,1.0,0.0,35.0,20.0,10.0,0.0,9.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0
Leander Public Library,"Leander, TX",Texas,https://www.leandertx.gov/library,http://www.leander.lib.tx.us/TLCScripts/interpac.dll?Search,Library.Solution,2021.0,Polaris,2012.0,Library.Solution,2006.0,Winnebago Spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leon Valley Public Library,"Leon Valley, TX",Texas,https://www.leonvalley.lib.tx.us/,https://leonvalley.biblionix.com/atoz/catalog/,Apollo,2008.0,Athe,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,18.0,0.0,0.0,10.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leord Public Library,"Leord, TX",Texas,https://leord.ploud.net/,http://leordtx.booksys.net/opac/leord/,Atriuum,2009.0,Athe,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewisville Public Library,"Lewisville, TX",Texas,https://library.cityoflewisville.com/,https://lewp.ent.sirsi.net/client/en_US/default,Symphony,2003.0,Taos,2000.0,INLEX/3000,1993.0,,,Enterprise,,,,,,,,,,,,,,,,,,Bibliotheca,,Granicus,,Bibliotheca,,,,,,,,,,,,,,,,,,,,57.0,7.0,1.0,0.0,9.0,0.0,0.0,0.0,40.0,19.0,15.0,0.0,9.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0
Liberty Hill Public Library,"Liberty Hill, TX",Texas,https://www.lhpl.org/,http://libertyhill.biblionix.com/,Apollo,2006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Plinkit,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberty Municipal Library,"Liberty, TX",Texas,https://www.cityofliberty.org/Departments/MunicipalLibrary.aspx,https://liberty.biblionix.com/catalog/,Apollo,2016.0,Destiny,2008.0,Athe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,5.0,0.0,0.0,20.0,0.0,0.0,0.0,59.0,11.0,8.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lillie Russell Memorial Library,"Lindale, TX",Texas,https://lillierusselllibrary.org/,https://lillierusselllibrary.booksys.net/opac/lpl/#menuHome,Atriuum,2009.0,Infocentre,2005.0,Athe,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linden Public Library,"Linden, TX",Texas,https://www.lindenpubliclibrary.org/,https://opac.libraryworld.com/opac/home.php,LibraryWorld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,33.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Little Elm Public Library,"Little Elm, TX",Texas,https://www.littleelmlibrary.org/,http://littleelm.bywatersolutions.com/,Koha -- ByWater Solutions,2012.0,Symphony,2006.0,Circulation Plus,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,16.0,2.0,0.0,8.0,1.0,0.0,0.0,51.0,7.0,1.0,2.0,17.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0
Livingston Municipal Library,"Livingston, TX",Texas,https://www.livingstonlibrary.net/,https://murphymemorial.biblionix.com/catalog/,Apollo,2012.0,Infocentre,2005.0,Athe,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,11.0,3.0,0.0,10.0,0.0,0.0,0.0,26.0,21.0,17.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llano County Library System,"Llano County, TX",Texas,https://www.llano-library-system.net/,https://llano.biblionix.com/catalog/,Apollo,2009.0,Athe,2000.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dr. Eugene Clark Library,"Lockhart, TX",Texas,https://www.clark-library-lockhart.org/,http://www.g3online.com/lockhart_pl,Apollo,2018.0,Genesis G3,2008.0,Athe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,22.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lone Oak Area Public Library,"Lone Oak, TX",Texas,http://www.loneoaklibrary.org/,,Atriuum,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,4.0,4.0,0.0,,,,,,,,,,,,
Longview Public Library,"Longview, TX",Texas,https://www.longviewtexas.gov/3888/Library,http://catalog.longviewlibrary.com/,Polaris,2006.0,C2,,,,,,,,,,AquaBrowser Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,16.0,2.0,0.0,21.0,0.0,0.0,0.0,64.0,46.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethel L. Whipple Memorial Library,"Los Fresnos, TX",Texas,https://www.losfresnos.lib.tx.us/,https://losfresnos.biblionix.com/atoz/catalog/,Apollo,2008.0,Library.Solution,2004.0,Symphony,1994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,21.0,21.0,13.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lubbock Public Library,"Lubbock, TX",Texas,https://ci.lubbock.tx.us/departments/library,http://66.76.179.151/uhtbin/cgisirsi/0/0/0/49/,Symphony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,6.0,0.0,0.0,6.0,4.0,1.0,0.0,35.0,16.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurth Memorial Library,"Lufkin, TX",Texas,https://www.cityoflufkin.com//departments/library/,http://search.kurthmemoriallibrary.com/uhtbin/cgisirsi.exe/x/x/0/49/,Symphony,2010.0,Millennium,2001.0,Athe,1996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,7.0,0.0,0.0,121.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.B. Nickells Memorial Library,"Luling, TX",Texas,https://www.cityofluling.net/214/Public-Library,https://luling.biblionix.com/catalog,Apollo,2007.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,10.0,0.0,0.0,17.0,0.0,0.0,0.0,30.0,26.0,14.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lumberton Public Library,"Lumberton, TX",Texas,https://www.lumbertonpubliclibrary.org/,http://24.227.180.94:82/simple/,Atriuum,2015.0,Alexandria,1998.0,,,,,,,,,,,,,,,,,,,,,,,,,Plinkit,,,,,,,,,,,,,,,,,,,,,,38.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,27.0,26.0,22.0,0.0,,,,,,,,,,,,
Lytle Public Library,"Lytle, TX",Texas,https://lytletx.org/115/Library,https://lytle.biblionix.com/catalog/,Apollo,2010.0,Athe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,8.0,0.0,0.0,17.0,0.0,0.0,0.0,28.0,24.0,12.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tri-County Library,"Mabank, TX",Texas,https://www.tricountylibrary.org/,http://tricountylib.booksys.net/opac/tcl/index.html?mode=start,Atriuum,,Athe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madison County Library,"Madison County, TX",Texas,https://www.madisonlibrarytx.org/,https://madison.biblionix.com/catalog/?login=1,Apollo,2010.0,Athe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Waller Community Library,"Malakoff, TX",Texas,https://cityofmalakoff.net/departments/library.html,,LibraryWorld,,Athe,,,,,,,,,,,,,,,,,,,,,,,,,,Plinkit,,,,,,,,,,,,,,,,,,,,,,18.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,,,,,,,,,,,,
Mansfield Public Library,"Mansfield, TX",Texas,https://www.mansfieldtexas.gov/154/Library,http://polarisweb.arlingtonlibrary.org/Polaris/default.aspx?ctx=23.1033.0.0.3,Polaris,2011.0,Athe,1995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,14.0,0.0,0.0,18.0,0.0,0.0,0.0,46.0,42.0,26.0,0.0,20.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0
Marathon Public Library,"Marathon, TX",Texas,http://www.marathonpubliclibrary.org/,https://marathon.biblionix.com/catalog/,Apollo,2008.0,Winnebago Spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,5.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marfa Public Library,"Marfa, TX",Texas,https://www.marfapubliclibrary.org/,,Apollo,2017.0,Destiny,,Circulation Plus,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,16.0,12.0,0.0,,,,,,,,,,,,
Marion Community Library,"Marion, TX",Texas,https://www.mariontxcommunitylibrary.com/,https://marionisd.follettdestiny.com/common/welcome.jsp?context=saas55_4259166,Apollo,2021.0,Destiny,,Circulation Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,23.0,0.0,0.0,8.0,0.0,0.0,0.0,37.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marlin Public Library,"Marlin, TX",Texas,https://marlinpubliclibrary.com/,https://marlin.biblionix.com/catalog/,Apollo,2008.0,Athe,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,Plinkit,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marshall Public Library,"Marshall, TX",Texas,https://www.marshalltexas.net/186/Marshall-Public-Library,https://marshall.biblionix.com/catalog,Apollo,2016.0,Library.Solution,1998.0,,,,,LS2 PAC,,,,AquaBrowser Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,12.0,0.0,0.0,14.0,0.0,0.0,0.0,16.0,14.0,6.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncy il Memorial Library,"Mart, TX",Texas,https://www.martlibrary.org/,https://mart.biblionix.com/atoz/catalog/?search=,Apollo,2010.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,Plinkit,,,,,,,,,,,,,,,,,,,,,,26.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,16.0,12.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin County Library,"Martin County, TX",Texas,http://www.co.martin.tx.us/177/Martin-County-Library,https://martin.biblionix.com/catalog/,Apollo,2012.0,Koha -- LibLime,2009.0,Winnebago Spectrum,,,,,,,,,,,,,,,,,,,,,,,,Plinkit,,,,,,,,,,,,,,,,,,,,,,59.0,12.0,0.0,0.0,17.0,0.0,0.0,0.0,30.0,26.0,14.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martindale Community Library,"Martindale, TX",Texas,https://www.martindalelibrary.org/,https://martindale.biblionix.com/catalog/,Apollo,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,26.0,25.0,13.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Beven Eckert Memorial Library,"Mason County, TX",Texas,https://mason.ploud.net/,https://mason.biblionix.com/atoz/catalog/,Apollo,2012.0,Koha -- LibLime,2008.0,Athe,,,,,,,,,,,,,,,,,,,,,,,,Plinkit,,,,,,,,,,,,,,,,,,,,,,26.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,16.0,12.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathis Public Library,"Mathis, TX",Texas,https://www.cityofmathis.com/275/Public-Library,https://mathis.biblionix.com/atoz/catalog/,Apollo,2011.0,Concourse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,9.0,0.0,0.0,17.0,0.0,0.0,0.0,28.0,24.0,12.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maud Public Library,"Maud, TX",Texas,https://maud.ploud.net/,https://maud.biblionix.com/catalog/,Apollo,2021.0,Library World,,Athe,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,16.0,12.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McAllen Memorial Library,"McAllen, TX",Texas,https://www.mcallenlibrary.net/,http://hcls.tlcdelivers.com:8080/?config=mcallen,Library.Solution,2010.0,Horizon,2004.0,Nonesuch,1983.0,,,LS2 PAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,,,,,,,,,,,,
McGinley Memorial Public Library,"McGregor, TX",Texas,https://mcgregor.ploud.net/,https://mcginley.biblionix.com/catalog/,Apollo,2014.0,Athe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roy and Helen Hall Memorial Library,"McKinney, TX",Texas,https://www.mckinneytexas.org/116/Library,http://ipac.mckinneytexas.org/,Koha -- ByWater Solutions,2016.0,Polaris,2008.0,Horizon,2002.0,,,Aspen Discovery -- ByWater Solutions,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,14.0,0.0,0.0,21.0,4.0,0.0,1.0,92.0,52.0,25.0,16.0,20.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0
Lovett Memorial Library,"Mclean, TX",Texas,https://www.lovettlibrarymclean.org/,http://hrlc.ent.sirsi.net/client/en_US/mcl/,Symphony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,4.0,4.0,0.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
Medi Community Library,"Medi, TX",Texas,https://www.medicommunitylibrary.us/,https://medi.biblionix.com/catalog/,Apollo,2011.0,Circulation Plus,2001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melissa Public Library,"Melissa, TX",Texas,https://www.cityofmelissa.com/208/Library,https://melissa.biblionix.com/catalog/,Apollo,2016.0,Genesis G3,1994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,12.0,0.0,0.0,17.0,0.0,0.0,0.0,32.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Memphis Public Library,"Memphis, TX",Texas,https://harringtonlc.org/memphis/,http://catalog.harringtonlc.org/,Symphony,2002.0,DRA,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merd Public Library,"Merd County, TX",Texas,https://merdchamber.com/business-directory/me/merd-county-public-library/,https://merd.biblionix.com/catalog/,Apollo,2012.0,Koha -- LibLime,,Athe,,,,,,,,,,,,,,,,,,,,,,,,Plinkit,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dr. Hector P. Garcia Memorial Library,"Mercedes, TX",Texas,https://cityofmercedes.com/library/,https://hcls.tlcdelivers.com/?config=mercedes#,Library.Solution,2006.0,Symphony,2000.0,Athe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,10.0,6.0,1.0,5.0,0.0,0.0,0.0,30.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meridian Public Library,"Meridian, TX",Texas,,https://meridian.biblionix.com/catalog/,Apollo,2010.0,Athe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merkel Public Library,"Merkel, TX",Texas,https://merkeltexas.com/public-library/,https://merkel.biblionix.com/catalog/,Apollo,2012.0,Athe,,,,,,,,,,,,,,,,,,,,,,,,,,Plinkit,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mesquite Public Library,"Mesquite, TX",Texas,https://www.cityofmesquite.com/454/Library,https://mepl.ent.sirsi.net/client/en_US/default,Symphony,2000.0,Locally developed,1984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,22.0,4.0,1.0,29.0,0.0,0.0,0.0,18.0,15.0,9.0,0.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
Gibbs Memorial Library,"Mexia, TX",Texas,https://www.gibbslibrarymexia.org/,https://gibbs.biblionix.com/atoz/catalog/,Apollo,2008.0,Symphony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,16.0,12.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
