names,location,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_link-name,error-type_heading-order,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_label,error-type_duplicate-id-active,error-type_checkboxgroup,error-type_label-title-only,error-type_page-has-heading-one,error-type_aria-allowed-role,error-type_image-alt,error-type_meta-viewport,error-type_bypass,error-type_html-has-lang,error-type_landmark-one-main,error-type_duplicate-id,error-type_frame-title,error-type_button-name,error-type_aria-roles,error-type_aria-valid-attr,error-type_empty-heading,error-type_document-title,error-type_landmark-no-duplicate-banner,error-type_aria-allowed-attr,error-type_autocomplete-valid,error-type_landmark-main-is-top-level,error-type_dlitem,error-type_definition-list,error-type_list,error-type_tabindex,error-type_skip-link,error-type_aria-valid-attr-value,error-type_aria-required-attr,error-type_listitem,error-type_landmark-no-duplicate-contentinfo,error-type_landmark-banner-is-top-level,error-type_meta-viewport-large,error-type_radiogroup,error-type_frame-title-unique,error-type_aria-required-children,error-type_duplicate-id-aria,error-type_image-redundant-alt,error-type_meta-refresh,error-type_landmark-contentinfo-is-top-level,error-type_aria-required-parent,error-type_marquee,error-type_input-image-alt,error-type_object-alt,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Mike Saliba,Michigan 10th,House,Federal,Legislative,https://ballotpedia.org/Mike_Saliba,https://votesaliba.com/,,,,Libertarian Party,Lost,"326,237","3,524",0.011,,5.0,,5.0,5,25,0,5,20,0,964,365,39.006,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,19,14,3,0,2,0,0,0,0
Mark Ambrose,Michigan 11th,House,Federal,Legislative,https://ballotpedia.org/Mark_Ambrose,https://voteambrose.com/,VoteMarkAmbrose,,,Republican Party,Lost,"360,631","140,267",0.389,25.0,48.0,13.0,,6,142,22,73,37,10,3315,1236,34.10166667,17.0,,,,,,1.0,,,,,10.0,,,,,,,6.0,,,6.0,,,,,,,,,,6.0,,,,,4.0,,,6.0,,,,,7,3,4,0,0,0,0,0,0
Steven Elliott,Michigan 12th,House,Federal,Legislative,https://ballotpedia.org/Steven_Elliott_(Michigan),https://stevenelliottforcongress.com/,StevenElliottMI,,,Republican Party,Lost,"163,433","43,946",0.269,,5.0,,1.0,1,16,7,5,2,2,1004,498,59.13,5.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,5,3,1,0,1,0,0,0,0
Christopher Dardzinski,Michigan 13th,House,Federal,Legislative,https://ballotpedia.org/Christopher_Dardzinski,https://leadership1776.com/,,,,U.S. Taxpayers Party,Lost,"234,444","2,769",0.012,,,47.0,13.0,13,841,10,0,60,771,28249,3848,35.34307692,,,,,,687.0,10.0,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,0,3,0,0,0,0
Brad Finstad,Minnesota 1st,House,Federal,Legislative,https://ballotpedia.org/Brad_Finstad,https://finstadforcongress.com,BradFinstad,,,Republican Party,Won,"296,547","159,621",0.538,,67.0,3.0,14.0,14,129,16,67,18,28,5582,923,40.17285714,9.0,,,,1.0,28.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,9,3,0,2,0,0,0,8
Jeff Ettinger,Minnesota 1st,House,Federal,Legislative,https://ballotpedia.org/Jeff_Ettinger,https://www.ettingerforcongress.com,SouthernMN4Jeff,,,Democratic Party,Lost,"296,547","125,457",0.423,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Richard Reisdorf,Minnesota 1st,House,Federal,Legislative,https://ballotpedia.org/Richard_Reisdorf,https://richardreisdorf.com,,,,Legal Marijuana Now Party,Lost,"296,547","6,389",0.022,1.0,8.0,1.0,1.0,1,15,2,9,4,0,642,338,41.7,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Brian Abrahamson,Minnesota 1st,House,Federal,Legislative,https://ballotpedia.org/Brian_Abrahamson,https://www.brianabrahamsonforcongress.com,,,,Grassroots-Legalize Cannabis Party of Minnesota,Lost,"296,547","4,943",0.017,3.0,11.0,,,3,16,2,14,0,0,644,303,44.34333333,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,19,0,0,7,0,0,0,44
Paula Overby,Minnesota 2nd,House,Federal,Legislative,https://ballotpedia.org/Paula_Overby,https://www.paulaoverby.com,Paula_overby,,,Legal Marijuana Now Party,Lost,"307,609","10,221",0.033,236.0,1104.0,7.0,111.0,133,3572,952,1560,342,718,78605,4361,54.61413534,314.0,109.0,1.0,,111.0,303.0,480.0,22.0,,111.0,111.0,415.0,,,22.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,111.0,,,,,,,,50,11,2,0,10,0,0,0,27
May Lor Xiong,Minnesota 4th,House,Federal,Legislative,https://ballotpedia.org/May_Lor_Xiong,https://may4mn.com,xiongmay,,,Republican Party,Lost,"295,973","95,493",0.323,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Cicely Davis,Minnesota 5th,House,Federal,Legislative,https://ballotpedia.org/Cicely_Davis,https://www.cicelydavis.com/,CicelyDavisMN,,,Republican Party,Lost,"284,888","70,689",0.248,74.0,72.0,4.0,,24,163,11,147,5,0,14714,1496,50.83956522,11.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3,3,0,1,4,0,0,16
Jeanne Hendricks,Minnesota 6th,House,Federal,Legislative,https://ballotpedia.org/Jeanne_Hendricks,https://hendricks2022.com,hendricks2022,,JeanneH76486336,Democratic Party,Lost,"319,767","120,852",0.378,,,,1.0,1,3,0,1,2,0,70,51,39.37,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,11,3,0,5,0,0,0,76
Jill Abahsain,Minnesota 7th,House,Federal,Legislative,https://ballotpedia.org/Jill_Abahsain,https://www.jillforthehill.org,jillforcd7,,,Democratic Party,Lost,"280,777","77,494",0.276,18.0,,14.0,,14,61,20,19,18,4,3160,1014,61.99285714,2.0,,,,4.0,2.0,,,,,,1.0,,9.0,6.0,2.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,55,14,1,0,7,0,0,0,33
Travis Johnson,Minnesota 7th,House,Federal,Legislative,https://ballotpedia.org/Travis_Johnson_(Minnesota),https://bulljohnsonforcongress.us,TravisBullJohn1,,,Legal Marijuana Now Party,Lost,"280,777","15,066",0.054,21.0,10.0,3.0,9.0,9,73,15,31,27,0,4162,1019,57.64888889,15.0,,,,6.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,14,3,0,5,8,0,0,41
Brian Flowers,Mississippi 2nd,House,Federal,Legislative,https://ballotpedia.org/Brian_Flowers,https://flowersforcongress.com,,,,Republican Party,Lost,"132,655","54,035",0.407,696.0,826.0,20.0,137.0,137,5581,365,1576,331,3309,42137,3733,30.71426471,225.0,,,8.0,21.0,,3.0,137.0,,,137.0,3309.0,,,,,,,15.0,,46.0,,,,,,1.0,,,,,,,,,,,,,,,,,,64,19,2,0,9,0,0,0,34
Johnny DuPree,Mississippi 4th,House,Federal,Legislative,https://ballotpedia.org/Johnny_DuPree,http://www.johnnydupree.com/,,,johnnyldupree,Democratic Party,Lost,"164,836","39,292",0.238,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Alden Johnson,Mississippi 4th,House,Federal,Legislative,https://ballotpedia.org/Alden_Johnson,https://aldenforcongress.com/,Alden4Congress,,,Libertarian Party,Lost,"164,836","3,416",0.021,15.0,10.0,12.0,5.0,5,84,30,30,24,0,2153,650,57.454,1.0,,,,,,29.0,,,,5.0,,,,,,,,,,,,,,5.0,,,,,,2.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Andrew Jones  Jr.,Missouri 1st,House,Federal,Legislative,https://ballotpedia.org/Andrew_Jones_Jr._(Missouri),https://andrewjonesforcongress.com,AJones4Congress,,,Republican Party,Lost,"219,780","53,572",0.244,,8.0,1.0,,1,14,4,8,1,1,124,78,80.32,,,,,,1.0,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,16,2,0,6,0,0,0,30
Bill Slantz,Missouri 2nd,House,Federal,Legislative,https://ballotpedia.org/Bill_Slantz,https://billslantz.com/,,,BillSlantz,Libertarian Party,Lost,"315,160","6,486",0.021,8.0,6.0,2.0,8.0,8,49,4,15,12,18,1846,555,67.1625,,,,1.0,2.0,18.0,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,52,14,3,0,9,0,0,0,26
Bethany Mann,Missouri 3rd,House,Federal,Legislative,https://ballotpedia.org/Bethany_Mann,https://bethanymannforcongress.com,Mann4Congress,,UnityBethany,Democratic Party,Lost,"266,130","92,899",0.349,257.0,31.0,14.0,30.0,29,498,50,312,107,29,13136,1724,50.43551724,41.0,,4.0,,7.0,30.0,,,,,30.0,,,,,1.0,,,,,4.0,,,,,30.0,30.0,,,,,,,,,4.0,,,,,,,,,31,16,0,0,2,0,0,0,13
Jack Truman,Missouri 4th,House,Federal,Legislative,https://ballotpedia.org/Jack_Truman,https://truman4congress.blogspot.com/,,,thatjacktruman,Democratic Party,Lost,"246,276","62,575",0.254,120.0,40.0,,12.0,12,248,24,200,24,0,15321,577,75.90666667,,,,12.0,,,24.0,,,,12.0,,16.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,9,6,0,0,1,0,0,0,2
Henry Martin,Missouri 6th,House,Federal,Legislative,https://ballotpedia.org/Henry_Martin,http://henrymartinforcongress.com/,hmforcongress,,,Democratic Party,Lost,"254,862","70,810",0.278,29.0,28.0,6.0,8.0,8,116,25,58,30,3,3682,990,35.03875,13.0,,4.0,,8.0,,,8.0,,,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,28,6,4,0,2,0,0,0,16
Edward Anders Maidment,Missouri 6th,House,Federal,Legislative,https://ballotpedia.org/Edward_Anders_Maidment,https://www.maidmentformissouri.com/,Anders_Maidment,,,Libertarian Party,Lost,"254,862","5,642",0.022,27.0,8.0,1.0,,8,67,0,51,8,8,470,203,26.24625,,8.0,,,7.0,8.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,21,10,0,0,3,0,0,0,8
Kristen Radaker-Sheafer,Missouri 7th,House,Federal,Legislative,https://ballotpedia.org/Kristen_Radaker-Sheafer,https://www.kristenforcongress.com/,KristenRSheafer,,,Democratic Party,Lost,"200,772","51,419",0.256,3.0,3.0,,,5,22,1,7,6,8,2581,1006,38.534,,,,,4.0,1.0,,,,,1.0,7.0,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,54,14,1,0,5,0,0,0,34
Randi McCallian,Missouri 8th,House,Federal,Legislative,https://ballotpedia.org/Randi_McCallian,https://www.randimccallian.com/,RandiMcCallian,,,Democratic Party,Lost,"213,370","45,626",0.214,7.0,12.0,7.0,,5,28,0,19,9,0,1860,623,61.712,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,16,0,0,7,0,0,0,54
Monica Tranel,Montana 1st,House,Federal,Legislative,https://ballotpedia.org/Monica_Tranel,https://monicatranel.com/,MonicaTranel,,,Democratic Party,Lost,"247,960","115,265",0.465,91.0,4.0,1.0,5.0,5,126,3,95,19,9,2912,842,30.482,,,,,3.0,8.0,3.0,,,,5.0,,,,,,1.0,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,51,14,3,0,5,4,0,0,25
Gary Buchanan,Montana 2nd,House,Federal,Legislative,https://ballotpedia.org/Gary_Buchanan,https://www.buchananformontana.com,BuchananForMT,,,Independent,Lost,"148,392","32,281",0.218,471.0,63.0,12.0,73.0,73,974,107,534,234,99,26530,3490,36.74428571,33.0,,,,1.0,30.0,1.0,73.0,,,,69.0,,,,,,,73.0,,,,,,,,,,,,1.0,73.0,,,,,,,,1.0,,,,,0,0,0,0,0,0,0,0,0
Penny Ronning,Montana 2nd,House,Federal,Legislative,https://ballotpedia.org/Penny_Ronning,https://www.pennyronning.com/,penny4congress,,pennyronning,Democratic Party,Lost,"148,392","29,609",0.2,6.0,4.0,52.0,,46,182,3,80,53,46,13660,2588,30.49288889,3.0,20.0,,,1.0,45.0,,,,1.0,,1.0,4.0,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,78,23,2,0,9,0,1,0,43
Patty Pansing Brooks,Nebraska 1st,House,Federal,Legislative,https://ballotpedia.org/Patty_Pansing_Brooks,https://pattyforcongress.com/,Patty4Nebraska,,,Democratic Party,Lost,"211,790","88,304",0.417,18.0,36.0,22.0,10.0,10,104,3,54,42,5,5316,1400,51.985,,,,,2.0,3.0,2.0,1.0,,,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,10,3,0,25,3,0,0,47
Mark Robertson,Nevada 1st,House,Federal,Legislative,https://ballotpedia.org/Mark_Robertson_(Nevada),https://robertsonforcongress.com/,RobertsonforNV,,,Republican Party,Lost,"202,837","95,096",0.469,21.0,20.0,3.0,26.0,62,585,3,64,81,437,24683,4065,44.38725806,4.0,,,4.0,5.0,437.0,,,,6.0,26.0,,,,,,,6.0,1.0,,,,,,,,20.0,,,,,,,,6.0,,,,,,,,,,125,18,6,0,12,8,0,0,81
April Becker,Nevada 3rd,House,Federal,Legislative,https://ballotpedia.org/April_Becker,https://voteaprilbecker.com,voteaprilbecker,,,Republican Party,Lost,"228,560","111,957",0.49,200.0,136.0,3.0,14.0,21,416,18,337,33,28,4401,1129,57.26904762,13.0,,,,2.0,26.0,,,1.0,,14.0,1.0,,,,,1.0,,,1.0,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,40,14,2,0,5,0,0,0,19
Karoline Leavitt,New Hampshire 1st,House,Federal,Legislative,https://ballotpedia.org/Karoline_Leavitt,https://www.karolineforcongress.com/,kleavittnh,,,Republican Party,Lost,"273,427","126,609",0.463,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Bob Burns,New Hampshire 2nd,House,Federal,Legislative,https://ballotpedia.org/Bob_Burns_(New_Hampshire),https://www.burns4nh.com/,BurnsForNH,,,Republican Party,Lost,"268,746","116,633",0.434,,1.0,,4.0,7,6,1,1,4,0,1441,524,90.29857143,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,12,0,0,11,8,0,0,88
Claire Gustafson,New Jersey 1st,House,Federal,Legislative,https://ballotpedia.org/Claire_Gustafson,https://clairegustafson.com/,ClaireGForNJRep,,,Republican Party,Lost,"155,888","51,129",0.328,2.0,,5.0,,4,158,1,3,5,149,1747,692,46.51,,,,,,135.0,1.0,,,,,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,0,0,3,0,0,0,0
Tim Alexander,New Jersey 2nd,House,Federal,Legislative,https://ballotpedia.org/Tim_Alexander,https://www.timalexanderforcongress.com/,talexander_NJ02,,,Democratic Party,Lost,"208,119","78,628",0.378,87.0,6.0,,2.0,7,110,1,93,3,13,2296,823,41.03714286,,,,,1.0,,1.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,22,1,0,19,6,0,0,32
Bob Healey,New Jersey 3rd,House,Federal,Legislative,https://ballotpedia.org/Bob_Healey_(New_Jersey),https://www.bobhealeyfornj.com,BobHealey4NJ,,,Republican Party,Lost,"239,890","106,080",0.442,28.0,258.0,3.0,30.0,30,647,262,291,63,31,17934,3094,30.032,4.0,,,,,,258.0,,,,30.0,31.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,60,20,3,0,7,0,0,0,30
Christopher Russomanno,New Jersey 3rd,House,Federal,Legislative,https://ballotpedia.org/Christopher_Russomanno,https://www.chrisrussomannoforcongress.com/,,,,Libertarian Party,Lost,"239,890","1,177",0.005,6.0,,4.0,,6,23,11,6,6,0,8443,2141,63.375,,,,,2.0,,,,,,,,,3.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,18,1,0,6,0,0,0,35
Gregory Sobocinski,New Jersey 3rd,House,Federal,Legislative,https://ballotpedia.org/Gregory_Sobocinski,https://www.votesobo.com/,,,,God Save America,Lost,"239,890","1,001",0.004,312.0,1365.0,40.0,34.0,34,2697,424,1948,155,170,17853,1207,41.61794118,66.0,,,,28.0,,327.0,30.0,,1.0,23.0,139.0,2.0,,,,31.0,8.0,30.0,,,,,,260.0,,,,,,,,,,,,1.0,,,,,,,,46,14,0,0,10,0,0,0,22
Jason Cullen,New Jersey 4th,House,Federal,Legislative,https://ballotpedia.org/Jason_Cullen,https://www.cullen4congress.com/,Cullen4Congress,,,Libertarian Party,Lost,"248,619","1,822",0.007,5.0,,9.0,1.0,5,21,1,5,15,0,1217,502,50.804,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,17,4,1,8,0,0,0,35
Frank Pallotta,New Jersey 5th,House,Federal,Legislative,https://ballotpedia.org/Frank_Pallotta,https://www.pallottaforcongress.com/,FrankPallottaNJ,,FTPallotta,Republican Party,Lost,"252,290","113,229",0.449,13.0,33.0,1.0,3.0,3,80,10,57,10,3,1029,366,55.43666667,,,,,3.0,,,3.0,,,3.0,3.0,,,,,,,,,,,,11.0,,,,6.0,,,,,,,,1.0,,,,,,,,,70,30,4,0,4,0,0,0,32
Trevor Ferrigno,New Jersey 5th,House,Federal,Legislative,https://ballotpedia.org/Trevor_Ferrigno,https://www.ferrignoforfreedom.org,,,,Together We Stand,Lost,"252,290",673,0.003,,41.0,8.0,,46,184,0,102,29,53,15146,2461,28.66130435,,15.0,,,21.0,46.0,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,7.0,,,,,,,28,11,0,0,5,0,0,0,12
Louis Vellucci,New Jersey 5th,House,Federal,Legislative,https://ballotpedia.org/Louis_Vellucci,https://louvellucci.com/,,,louv55,American Values,Lost,"252,290",588,0.002,,,,2.0,2,10,0,4,6,0,2204,559,40.28,,,,,2.0,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,6,2,0,2,0,0,0,11
Susan Kiley,New Jersey 6th,House,Federal,Legislative,https://ballotpedia.org/Susan_Kiley,https://suekiley.com/,SueKileyNJ6,,,Republican Party,Lost,"171,317","71,588",0.418,,7.0,10.0,7.0,7,535,66,7,24,438,3588,936,56.10285714,,,,,,405.0,66.0,,,,,33.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,6,3,0,0,3,0,0,0,0
Tara Fisher,New Jersey 6th,House,Federal,Legislative,https://ballotpedia.org/Tara_Fisher,https://fisher4freedom.com/,fisher4freedom,,,Libertarian Party,Lost,"171,317","1,248",0.007,24.0,,3.0,7.0,7,60,17,26,17,0,709,231,55.37428571,10.0,,,,,,,7.0,,,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,0,0,0
Tom Malinowski,New Jersey 7th,House,Federal,Legislative,https://ballotpedia.org/Tom_Malinowski,https://malinowskifornj.com/,Malinowski,,,Democratic Party,Lost,"292,486","139,404",0.477,246.0,258.0,,39.0,39,1685,11,538,56,1080,21903,3296,34.56282051,,,,,16.0,585.0,,,,,,495.0,2.0,10.0,,1.0,,,,,32.0,,,,,,1.0,,,,,,,,,,,,,,,,,,100,16,4,0,8,6,0,0,66
Billy Prempeh,New Jersey 9th,House,Federal,Legislative,https://ballotpedia.org/Billy_Prempeh,https://www.billyprempeh.com/,BillyPrempeh,,,Republican Party,Lost,"32,002","9,123",0.285,2587.0,43.0,63.0,288.0,288,4199,580,2807,590,222,50399,1745,-19.96028369,55.0,,,,222.0,216.0,525.0,,,,2.0,,6.0,,,,6.0,,15.0,,51.0,,,,,120.0,,,,,,,,,,,,,,,,,,,50,11,6,0,5,0,0,0,28
Paul DeGroot,New Jersey 11th,House,Federal,Legislative,https://ballotpedia.org/Paul_DeGroot,https://pauldegrootcares.com/,DeGrootCongress,,,Republican Party,Lost,"207,155","87,925",0.424,206.0,144.0,27.0,38.0,38,631,99,398,133,1,12804,1670,41.77305556,99.0,,,,30.0,,,,,,38.0,,1.0,,,,1.0,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,32,18,5,0,2,0,0,0,7
Joseph Biasco,New Jersey 11th,House,Federal,Legislative,https://ballotpedia.org/Joseph_Biasco,https://biascoforcongress.com/,BiascoCongress,,,Libertarian Party,Lost,"207,155","1,715",0.008,7.0,6.0,6.0,14.0,14,79,24,21,34,0,3985,989,62.87384615,10.0,,,,,,,14.0,,,14.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,11,5,2,3,0,0,0,6
Darius Mayfield,New Jersey 12th,House,Federal,Legislative,https://ballotpedia.org/Darius_Mayfield,https://www.dariusmayfieldforamerica.com/,Darius4America,,,Republican Party,Lost,"150,582","58,895",0.391,34.0,248.0,5.0,,69,452,124,291,7,30,17045,2634,58.59043478,3.0,,,,,16.0,,,,,1.0,8.0,3.0,70.0,47.0,3.0,6.0,,,,,1.0,,,,,,,,6.0,,,,1.0,,,,,,,,,,,70,8,0,0,6,4,0,0,52
Yvette Herrell,New Mexico 2nd,House,Federal,Legislative,https://ballotpedia.org/Yvette_Herrell,https://www.yvetteherrell.com/,Yvette4congress,,,Republican Party,Lost,"192,457","95,560",0.497,72.0,12.0,,1.0,4,90,0,84,5,1,374,168,65.015,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,14,0,0,7,0,0,0,34
Alexis Martinez Johnson,New Mexico 3rd,House,Federal,Legislative,https://ballotpedia.org/Alexis_Martinez_Johnson,https://electalexis.com/,alexisjohnsonnm,,,Republican Party,Lost,"208,160","90,809",0.436,1.0,,,1.0,1,3,0,1,2,0,30,27,78.25,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Jackie Gordon,New York 2nd,House,Federal,Legislative,https://ballotpedia.org/Jackie_Gordon,https://jackiegordonforcongress.com/,VoteJackie4NY,,,Democratic Party,Lost,"244,113","95,183",0.39,,,,1.0,1,3,0,1,2,0,3816,979,31.75,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4,2,0,0,0,0,0,0,2
Paul King,New York 5th,House,Federal,Legislative,https://ballotpedia.org/Paul_King_(New_York),https://paulkingforcongress.com,Paul4USCongress,,,Republican Party,Lost,"130,374","32,393",0.248,167.0,6.0,,38.0,38,543,267,175,76,25,4337,950,70.61923077,229.0,1.0,,,,21.0,,38.0,,,38.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,0,2,0,0,0,0
Thomas Zmich,New York 6th,House,Federal,Legislative,https://ballotpedia.org/Thomas_Zmich,https://www.zmich2020.com/,Tomzmich2020,,tom_zmich,Republican Party,Lost,"125,811","46,188",0.367,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Juan Pagan,New York 7th,House,Federal,Legislative,https://ballotpedia.org/Juan_Pagan,https://paganforcongress.org,Pagan4Congress,,,Republican Party,Lost,"164,544","30,262",0.184,,5.0,1.0,1.0,1,15,7,5,3,0,105,65,37.98,4.0,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,2,0,0,0,0
Yuri Dashevsky,New York 8th,House,Federal,Legislative,https://ballotpedia.org/Yuri_Dashevsky,https://yura4us.com/,yura4us,,djueat,Republican Party,Lost,"128,954","35,486",0.275,188.0,1095.0,7.0,64.0,64,1637,151,1322,146,18,14106,2292,66.79241379,143.0,3.0,,,57.0,,8.0,,,1.0,2.0,4.0,2.0,,,,14.0,,,,8.0,,,,20.0,5.0,,,,,,,,,,,,,,16.0,,,,,53,13,3,0,6,0,0,0,31
Benine Hamdan,New York 10th,House,Federal,Legislative,https://ballotpedia.org/Benine_Hamdan,https://www.beninehamdan.com/,najimbenine,,,Republican Party,Lost,"233,711","34,646",0.148,22.0,32.0,5.0,11.0,11,97,5,61,28,3,3180,987,67.33909091,4.0,,1.0,4.0,1.0,,,,,3.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,4,4,0,3,4,0,0,15
Max Rose,New York 11th,House,Federal,Legislative,https://ballotpedia.org/Max_Rose,https://maxroseforcongress.com/,MaxRose4NY,,,Democratic Party,Lost,"204,995","80,093",0.391,,,,,1,9,3,6,0,0,425,254,60.08,,,,,,,,1.0,,1.0,,,4.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,134,10,2,0,11,4,0,0,107
Mike Zumbluskas,New York 12th,House,Federal,Legislative,https://ballotpedia.org/Mike_Zumbluskas,https://www.electmikez.us/,MikeZumbluskas,,,Republican Party,Lost,"228,204","41,264",0.181,299.0,227.0,5.0,47.0,47,904,253,550,99,2,22319,3918,32.59617021,63.0,,,,,,49.0,,,,47.0,,24.0,141.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,15,0,0,3,0,0,0,1
Tina Forte,New York 14th,House,Federal,Legislative,https://ballotpedia.org/Tina_Forte,https://tinaforteforcongress.com/,TinaForteUSA,,,Republican Party,Lost,"164,933","44,240",0.268,,15.0,,1.0,1,25,6,15,3,1,794,405,52.8,5.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,37,7,1,0,7,2,0,0,20
Desi Cuellar,New York 14th,House,Federal,Legislative,https://ballotpedia.org/Desi_Cuellar,https://www.desicuellar.com,desijcuellar,,,Conservative Party,Lost,"164,933","3,118",0.019,8.0,35.0,6.0,,13,77,6,51,7,13,10535,1896,38.18846154,,,,,1.0,13.0,6.0,,,,,,1.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,42,13,0,0,4,4,0,0,21
Sean Maloney,New York 17th,House,Federal,Legislative,https://ballotpedia.org/Sean_Maloney,https://www.seanmaloney.com/,spmaloney,,,Democratic Party,Lost,"278,661","137,633",0.494,1.0,170.0,53.0,,53,379,7,262,57,53,19308,2676,38.01903846,3.0,38.0,,,4.0,53.0,4.0,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,18,10,0,0,3,0,0,0,5
