names,location,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_link-name,error-type_heading-order,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_label,error-type_duplicate-id-active,error-type_checkboxgroup,error-type_label-title-only,error-type_page-has-heading-one,error-type_aria-allowed-role,error-type_image-alt,error-type_meta-viewport,error-type_bypass,error-type_html-has-lang,error-type_landmark-one-main,error-type_duplicate-id,error-type_frame-title,error-type_button-name,error-type_aria-roles,error-type_aria-valid-attr,error-type_empty-heading,error-type_document-title,error-type_landmark-no-duplicate-banner,error-type_aria-allowed-attr,error-type_autocomplete-valid,error-type_landmark-main-is-top-level,error-type_dlitem,error-type_definition-list,error-type_list,error-type_tabindex,error-type_skip-link,error-type_aria-valid-attr-value,error-type_aria-required-attr,error-type_listitem,error-type_landmark-no-duplicate-contentinfo,error-type_landmark-banner-is-top-level,error-type_meta-viewport-large,error-type_radiogroup,error-type_frame-title-unique,error-type_aria-required-children,error-type_duplicate-id-aria,error-type_image-redundant-alt,error-type_meta-refresh,error-type_landmark-contentinfo-is-top-level,error-type_aria-required-parent,error-type_marquee,error-type_input-image-alt,error-type_object-alt
Frank Pallotta,New Jersey 5th,House,Federal,Legislative,https://ballotpedia.org/Frank_Pallotta,https://www.pallottaforcongress.com/,FrankPallottaNJ,,FTPallotta,Republican Party,Lost,"252,290","113,229",0.449,13,33,1,3,3,80,10,57,10,3,1029,366,55.43666667,,,,,3,,,3,,,3,3,,,,,,,,,,,,11,,,,6,,,,,,,,1,,,,,,,,
Trevor Ferrigno,New Jersey 5th,House,Federal,Legislative,https://ballotpedia.org/Trevor_Ferrigno,https://www.ferrignoforfreedom.org,,,,Together We Stand,Lost,"252,290",673,0.003,,41,8,,46,184,0,102,29,53,15146,2461,28.66130435,,15,,,21,46,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,7,,,,,,
Louis Vellucci,New Jersey 5th,House,Federal,Legislative,https://ballotpedia.org/Louis_Vellucci,https://louvellucci.com/,,,louv55,American Values,Lost,"252,290",588,0.002,,,,2,2,10,0,4,6,0,2204,559,40.28,,,,,2,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susan Kiley,New Jersey 6th,House,Federal,Legislative,https://ballotpedia.org/Susan_Kiley,https://suekiley.com/,SueKileyNJ6,,,Republican Party,Lost,"171,317","71,588",0.418,,7,10,7,7,535,66,7,24,438,3588,936,56.10285714,,,,,,405,66,,,,,33,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
Tara Fisher,New Jersey 6th,House,Federal,Legislative,https://ballotpedia.org/Tara_Fisher,https://fisher4freedom.com/,fisher4freedom,,,Libertarian Party,Lost,"171,317","1,248",0.007,24,,3,7,7,60,17,26,17,0,709,231,55.37428571,10,,,,,,,7,,,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Malinowski,New Jersey 7th,House,Federal,Legislative,https://ballotpedia.org/Tom_Malinowski,https://malinowskifornj.com/,Malinowski,,,Democratic Party,Lost,"292,486","139,404",0.477,246,258,,39,39,1685,11,538,56,1080,21903,3296,34.56282051,,,,,16,585,,,,,,495,2,10,,1,,,,,32,,,,,,1,,,,,,,,,,,,,,,,,
Billy Prempeh,New Jersey 9th,House,Federal,Legislative,https://ballotpedia.org/Billy_Prempeh,https://www.billyprempeh.com/,BillyPrempeh,,,Republican Party,Lost,"32,002","9,123",0.285,2587,43,63,288,288,4199,580,2807,590,222,50399,1745,-19.96028369,55,,,,222,216,525,,,,2,,6,,,,6,,15,,51,,,,,120,,,,,,,,,,,,,,,,,,
Paul DeGroot,New Jersey 11th,House,Federal,Legislative,https://ballotpedia.org/Paul_DeGroot,https://pauldegrootcares.com/,DeGrootCongress,,,Republican Party,Lost,"207,155","87,925",0.424,206,144,27,38,38,631,99,398,133,1,12804,1670,41.77305556,99,,,,30,,,,,,38,,1,,,,1,,,,,,,,47,,,,,,,,,,,,,,,,,,,
Joseph Biasco,New Jersey 11th,House,Federal,Legislative,https://ballotpedia.org/Joseph_Biasco,https://biascoforcongress.com/,BiascoCongress,,,Libertarian Party,Lost,"207,155","1,715",0.008,7,6,6,14,14,79,24,21,34,0,3985,989,62.87384615,10,,,,,,,14,,,14,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Mayfield,New Jersey 12th,House,Federal,Legislative,https://ballotpedia.org/Darius_Mayfield,https://www.dariusmayfieldforamerica.com/,Darius4America,,,Republican Party,Lost,"150,582","58,895",0.391,34,248,5,,69,452,124,291,7,30,17045,2634,58.59043478,3,,,,,16,,,,,1,8,3,70,47,3,6,,,,,1,,,,,,,,6,,,,1,,,,,,,,,,
Yvette Herrell,New Mexico 2nd,House,Federal,Legislative,https://ballotpedia.org/Yvette_Herrell,https://www.yvetteherrell.com/,Yvette4congress,,,Republican Party,Lost,"192,457","95,560",0.497,72,12,,1,4,90,0,84,5,1,374,168,65.015,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Martinez Johnson,New Mexico 3rd,House,Federal,Legislative,https://ballotpedia.org/Alexis_Martinez_Johnson,https://electalexis.com/,alexisjohnsonnm,,,Republican Party,Lost,"208,160","90,809",0.436,1,,,1,1,3,0,1,2,0,30,27,78.25,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Gordon,New York 2nd,House,Federal,Legislative,https://ballotpedia.org/Jackie_Gordon,https://jackiegordonforcongress.com/,VoteJackie4NY,,,Democratic Party,Lost,"244,113","95,183",0.39,,,,1,1,3,0,1,2,0,3816,979,31.75,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Paul King,New York 5th,House,Federal,Legislative,https://ballotpedia.org/Paul_King_(New_York),https://paulkingforcongress.com,Paul4USCongress,,,Republican Party,Lost,"130,374","32,393",0.248,167,6,,38,38,543,267,175,76,25,4337,950,70.61923077,229,1,,,,21,,38,,,38,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Zmich,New York 6th,House,Federal,Legislative,https://ballotpedia.org/Thomas_Zmich,https://www.zmich2020.com/,Tomzmich2020,,tom_zmich,Republican Party,Lost,"125,811","46,188",0.367,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Pagan,New York 7th,House,Federal,Legislative,https://ballotpedia.org/Juan_Pagan,https://paganforcongress.org,Pagan4Congress,,,Republican Party,Lost,"164,544","30,262",0.184,,5,1,1,1,15,7,5,3,0,105,65,37.98,4,,,,,,1,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuri Dashevsky,New York 8th,House,Federal,Legislative,https://ballotpedia.org/Yuri_Dashevsky,https://yura4us.com/,yura4us,,djueat,Republican Party,Lost,"128,954","35,486",0.275,188,1095,7,64,64,1637,151,1322,146,18,14106,2292,66.79241379,143,3,,,57,,8,,,1,2,4,2,,,,14,,,,8,,,,20,5,,,,,,,,,,,,,,16,,,,
Benine Hamdan,New York 10th,House,Federal,Legislative,https://ballotpedia.org/Benine_Hamdan,https://www.beninehamdan.com/,najimbenine,,,Republican Party,Lost,"233,711","34,646",0.148,22,32,5,11,11,97,5,61,28,3,3180,987,67.33909091,4,,1,4,1,,,,,3,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Rose,New York 11th,House,Federal,Legislative,https://ballotpedia.org/Max_Rose,https://maxroseforcongress.com/,MaxRose4NY,,,Democratic Party,Lost,"204,995","80,093",0.391,,,,,1,9,3,6,0,0,425,254,60.08,,,,,,,,1,,1,,,4,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,
Mike Zumbluskas,New York 12th,House,Federal,Legislative,https://ballotpedia.org/Mike_Zumbluskas,https://www.electmikez.us/,MikeZumbluskas,,,Republican Party,Lost,"228,204","41,264",0.181,299,227,5,47,47,904,253,550,99,2,22319,3918,32.59617021,63,,,,,,49,,,,47,,24,141,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tina Forte,New York 14th,House,Federal,Legislative,https://ballotpedia.org/Tina_Forte,https://tinaforteforcongress.com/,TinaForteUSA,,,Republican Party,Lost,"164,933","44,240",0.268,,15,,1,1,25,6,15,3,1,794,405,52.8,5,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Desi Cuellar,New York 14th,House,Federal,Legislative,https://ballotpedia.org/Desi_Cuellar,https://www.desicuellar.com,desijcuellar,,,Conservative Party,Lost,"164,933","3,118",0.019,8,35,6,,13,77,6,51,7,13,10535,1896,38.18846154,,,,,1,13,6,,,,,,1,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
Sean Maloney,New York 17th,House,Federal,Legislative,https://ballotpedia.org/Sean_Maloney,https://www.seanmaloney.com/,spmaloney,,,Democratic Party,Lost,"278,661","137,633",0.494,1,170,53,,53,379,7,262,57,53,19308,2676,38.01903846,3,38,,,4,53,4,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,
Pat Ryan,New York 18th,House,Federal,Legislative,https://ballotpedia.org/Pat_Ryan_(New_York),https://www.patryanforcongress.com/,PatRyanUC,,,Democratic Party,Won,"260,987","131,460",0.504,21,10,7,,5,56,0,31,16,9,2553,763,28.872,,,,,5,,,,,,,,,,,,9,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Josh Riley,New York 19th,House,Federal,Legislative,https://ballotpedia.org/Josh_Riley,https://joshrileyforcongress.com/,joshuaue99,,,Democratic Party,Lost,"279,812","136,789",0.489,25,27,4,4,5,167,0,52,8,107,4211,698,62.1,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Joy,New York 20th,House,Federal,Legislative,https://ballotpedia.org/Elizabeth_Joy,https://joyfornewyork.com/,LizLemeryJoy,,,Republican Party,Lost,"285,463","128,970",0.452,5,1,,1,1,10,1,7,2,0,86,65,82.34,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Conole,New York 22nd,House,Federal,Legislative,https://ballotpedia.org/Francis_Conole,https://conoleforcongress.com/,FDConole,,,Democratic Party,Lost,"261,751","128,837",0.492,20,,,4,4,44,17,20,7,0,444,147,76.63333333,2,,,,3,,,4,,,,,,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,5,
Steven Holden,New York 24th,House,Federal,Legislative,https://ballotpedia.org/Steven_Holden,https://www.nystevenholden.com,believein_steve,,,Democratic Party,Lost,"269,768","91,703",0.34,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La'Ron Singletary,New York 25th,House,Federal,Legislative,https://ballotpedia.org/La'Ron_Singletary,https://singletary4congress.com/,LaRon4Congress,,LaRonSingletary,Republican Party,Lost,"277,308","128,502",0.463,22,,,1,1,30,2,23,3,2,358,201,40.35,,,1,,,2,,,,,,,1,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
Steven Sams,New York 26th,House,Federal,Legislative,https://ballotpedia.org/Steven_Sams,https://www.samsforthepeople.com/,StevenLSamsII,,,Republican Party,Lost,"239,951","86,822",0.362,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Smith,North Carolina 1st,House,Federal,Legislative,https://ballotpedia.org/Sandy_Smith_(North_Carolina),https://sandysmithnc.com/,SandySmithNC,,,Republican Party,Lost,"255,857","122,128",0.477,,93,6,,92,757,10,94,14,639,25008,3395,46.80597826,5,,,,8,268,5,,,,,371,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christine Villaverde,North Carolina 2nd,House,Federal,Legislative,https://ballotpedia.org/Christine_Villaverde,https://votevillaverde.com/,Villaverde4NC,,,Republican Party,Lost,"289,143","102,840",0.356,11,197,13,13,36,945,24,275,67,579,7178,1350,60.87833333,24,,,,15,67,,,,4,17,512,1,,,,,4,9,,,,,5,,53,,,,,,,,,,,,,,,,,,
Barbara Gaskins,North Carolina 3rd,House,Federal,Legislative,https://ballotpedia.org/Barbara_Gaskins,https://www.barbara4congress.com/,barbara4NC,,,Democratic Party,Lost,"247,193","81,503",0.33,2,,,1,1,11,4,4,3,0,172,92,73.88,,,,,1,,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Parrish,North Carolina 5th,House,Federal,Legislative,https://ballotpedia.org/Kyle_Parrish,https://kyleparrishforcongress.com,KP4NC,,,Democratic Party,Lost,"274,482","100,388",0.366,,,9,8,8,558,18,1,25,514,3082,832,55.86125,,,,,,464,6,,,,,36,1,4,,,14,,,,,,,,,,,8,,,,8,,,,,,,,,,,,
Christian Castelli,North Carolina 6th,House,Federal,Legislative,https://ballotpedia.org/Christian_Castelli,https://www.castellifornc.com/,Castelli4NC,,,Republican Party,Lost,"256,950","116,076",0.452,28,3,6,3,3,61,6,31,15,9,1449,581,53.93,,,,,3,6,6,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Graham,North Carolina 7th,House,Federal,Legislative,https://ballotpedia.org/Charles_Graham_(North_Carolina),https://votecharlesgraham.com/,,,,Democratic Party,Lost,"276,431","116,549",0.422,119,24,,21,21,238,18,143,56,21,6636,1377,52.95857143,18,,,,14,,,,,,20,21,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Scott Huffman,North Carolina 8th,House,Federal,Legislative,https://ballotpedia.org/Scott_Huffman,https://www.scotthuffman.com/,HuffmanForNC,,,Democratic Party,Lost,"260,510","77,868",0.299,61,54,,53,53,750,58,211,106,375,57377,3148,51.26230769,6,,,,,3,52,,,,53,371,10,,,,1,,,,,,,,49,,,,,,,,,,37,,,,,,,,,
Ben Clark,North Carolina 9th,House,Federal,Legislative,https://ballotpedia.org/Ben_Clark,https://www.benclarknc.com,BenClarkNC,,,Democratic Party,Lost,"230,610","99,848",0.433,3,48,12,12,13,361,260,51,24,26,7745,741,60.24846154,55,,,,,26,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pamela Genant,North Carolina 10th,House,Federal,Legislative,https://ballotpedia.org/Pam_Genant,https://www.pamgenant.com/,PamGenant,,,Democratic Party,Lost,"268,207","73,174",0.273,,,,1,1,9,1,0,3,5,37,34,87.72,,,,,1,4,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Hines,North Carolina 13th,House,Federal,Legislative,https://ballotpedia.org/Bo_Hines,https://bo4nc.com,BoHines,,,Republican Party,Lost,"273,822","133,291",0.487,2,2,,2,2,47,9,12,11,15,461,199,66.25,6,,,,2,2,,,,,2,12,,,,,1,,,,,,,,,8,5,,,,,,,,,,3,,,,,,,
Pat Harrigan,North Carolina 14th,House,Federal,Legislative,https://ballotpedia.org/Pat_Harrigan,https://www.harriganforcongress.com,PatHarriganNC,,,Republican Party,Lost,"254,363","108,170",0.425,25,10,9,10,10,107,10,35,29,33,1332,152,52.164,10,,,,,29,,,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cara Mund,North Dakota 1st,House,Federal,Legislative,https://ballotpedia.org/Cara_Mund,http://caramund.com/,caramund,,,Independent,Lost,"237,923","89,379",0.376,,,4,6,6,62,0,6,15,41,1443,459,50.6,,,,,,34,,,,6,,6,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Samantha Meadows,Ohio 2nd,House,Federal,Legislative,https://ballotpedia.org/Samantha_Meadows,https://www.samanthameadowsforcongress.com/,SMeadows4OH2,,,Democratic Party,Lost,"252,618","64,329",0.255,2,,,,1,6,1,3,1,1,56,41,65.73,1,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Lee Stahley,Ohio 3rd,House,Federal,Legislative,https://ballotpedia.org/Lee_Stahley,https://www.stahleyforcongress.com,LeeStahley,,,Republican Party,Lost,"258,797","76,455",0.295,5,,8,1,8,24,1,6,13,4,1622,560,80.58625,,,,,4,1,,,,,,2,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
Tamie Wilson,Ohio 4th,House,Federal,Legislative,https://ballotpedia.org/Tamie_Wilson,https://www.tamiewilson.com/,Tamie_Wilson_,,,Democratic Party,Lost,"284,042","87,144",0.307,155,39,15,23,23,333,1,217,114,1,5132,1162,52.54272727,23,,1,,20,,,,,,23,,,,,,1,,23,,,,,,,,,,,,,10,,,,,,,,,,,,
Vince Licursi,Ohio 7th,House,Federal,Legislative,https://ballotpedia.org/Vince_Licursi,https://www.writeinvince.com/,VincentLicursi,,,Independent,Lost,"303,583",51,0,,4,,,2,8,0,4,1,3,120,41,73.68,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Esrati,Ohio 10th,House,Federal,Legislative,https://ballotpedia.org/David_Esrati,https://electesrati.com,Esrati,,,Democratic Party,Lost,"260,175","98,383",0.378,42,26,20,15,15,158,34,69,54,1,10138,2405,54.89357143,4,,,1,3,,,15,,,15,1,,15,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Gesiotto Gilbert,Ohio 13th,House,Federal,Legislative,https://ballotpedia.org/Madison_Gesiotto_Gilbert,https://www.madisongesiotto.com/,,,madisongesiotto,Republican Party,Lost,"277,530","131,704",0.475,,,,,1,3,0,1,1,1,51,42,54.22,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Gary Josephson,Ohio 15th,House,Federal,Legislative,https://ballotpedia.org/Gary_Josephson,https://josephson4rep.org,josephson4rep,,,Democratic Party,Lost,"230,684","90,672",0.393,,,,5,5,48,9,3,15,21,850,417,65.0825,2,,,,5,1,7,,,,5,20,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Adam Martin,Oklahoma 1st,House,Federal,Legislative,https://ballotpedia.org/Adam_Martin_(Oklahoma),https://www.martinforcongress.com/,AdamMartin4OK,,,Democratic Party,Lost,"233,148","80,835",0.347,5,,1,,4,10,0,5,5,0,925,373,44.6125,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naomi Andrews,Oklahoma 2nd,House,Federal,Legislative,https://ballotpedia.org/Naomi_Andrews_(Oklahoma),https://www.naomiforok.com,NaomiForOK,,,Democratic Party,Lost,"231,459","54,149",0.234,5,59,5,1,32,175,67,64,30,14,6544,1146,82.0603125,,,,,24,10,,,,,,,,4,39,22,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Mary Brannon,Oklahoma 4th,House,Federal,Legislative,https://ballotpedia.org/Mary_Brannon,https://www.electbrannon.com,electbrannon,,,Democratic Party,Lost,"224,375","74,598",0.332,13,,,,4,14,0,13,0,1,822,387,68.095,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Harris-Till,Oklahoma 5th,House,Federal,Legislative,https://ballotpedia.org/Joshua_Harris-Till,https://www.jhtforcongress.com,JHTforCongress,,JHarrisTill,Democratic Party,Lost,"258,594","96,709",0.374,6,15,5,,13,59,26,21,11,1,3042,724,52.12692308,,,,,6,,,,,,,1,,5,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Frosch,Oklahoma 5th,House,Federal,Legislative,https://ballotpedia.org/David_Frosch,https://davidfrosch.com/,FroschForOK,,,Independent,Lost,"258,594","9,318",0.036,28,2,14,9,9,105,6,30,24,45,2441,845,59.32444444,,,,,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Joseph Yetter,Oregon 2nd,House,Federal,Legislative,https://ballotpedia.org/Joseph_Yetter,https://www.joefororegon.com,JoeForOregon,,,Democratic Party,Lost,"234,977","78,824",0.335,,18,7,,6,25,0,18,7,0,5200,1408,66.27166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joanna Harbour,Oregon 3rd,House,Federal,Legislative,https://ballotpedia.org/Joanna_Harbour,https://joanna4oregon.com/,joanna4oregon,,,Republican Party,Lost,"180,690","49,022",0.271,,8,,6,6,17,0,8,9,0,868,336,47.07333333,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alek Skarlatos,Oregon 4th,House,Federal,Legislative,https://ballotpedia.org/Alek_Skarlatos,https://www.alekfororegon.com/,alekskarlatos,,,Republican Party,Lost,"322,520","138,544",0.43,88,64,,8,8,197,29,152,16,0,2626,761,40.59375,25,,,,,,4,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levi Leatherberry,Oregon 4th,House,Federal,Legislative,https://ballotpedia.org/Levi_Leatherberry,https://www.levileatherberry.com,,,,Libertarian Party,Lost,"322,520","8,358",0.026,9,,3,1,1,18,3,9,5,1,260,155,47.15,2,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie McLeod-Skinner,Oregon 5th,House,Federal,Legislative,https://ballotpedia.org/Jamie_McLeod-Skinner,https://jamiefororegon.com,jamiefororegon,,,Democratic Party,Lost,"316,361","154,581",0.489,27,,,2,2,35,2,28,5,0,3123,1095,45.2,,1,,,,,2,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Erickson,Oregon 6th,House,Federal,Legislative,https://ballotpedia.org/Mike_Erickson_(Oregon),https://mikeericksonforcongress.org/,,,,Republican Party,Lost,"294,377","139,946",0.475,469,344,7,55,55,911,21,814,62,14,27213,2331,37.49581818,13,,1,1,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
Ashley Ehasz,Pennsylvania 1st,House,Federal,Legislative,https://ballotpedia.org/Ashley_Ehasz,https://www.ehaszforcongress.com/,ashley_ehasz,,,Democratic Party,Lost,"347,951","153,210",0.44,102,10,,,19,162,1,135,5,21,952,420,59.23105263,1,,,,5,19,,,,,,,2,,,,2,,,,2,,,,,19,,,,,,,,,,,,,,,,,,
Aaron Bashir,Pennsylvania 2nd,House,Federal,Legislative,https://ballotpedia.org/Aaron_Bashir,https://bashirforcongress.com/,aaron_bashir,,,Republican Party,Lost,"113,192","31,451",0.278,102,8,,8,8,141,5,110,24,2,2675,709,66.32,5,,,,8,2,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Galluch,Pennsylvania 5th,House,Federal,Legislative,https://ballotpedia.org/David_Galluch,https://www.galluchforcongress.com,DaveGalluchPA,,,Republican Party,Lost,"300,115","107,079",0.357,,1,,1,1,4,0,2,2,0,44,39,90.39,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guy Ciarrocchi,Pennsylvania 6th,House,Federal,Legislative,https://ballotpedia.org/Guy_Ciarrocchi,https://ourguyforcongress.com/,guyciarrocchi,,,Republican Party,Lost,"300,011","131,145",0.437,20,271,5,63,63,567,39,305,131,92,20460,1952,58.07111111,15,13,,,,86,,,,,63,6,1,,8,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,
Lisa Scheller,Pennsylvania 7th,House,Federal,Legislative,https://ballotpedia.org/Lisa_Scheller,https://lisaschellerpa.com/,SchellerforPA,,,Republican Party,Lost,"294,463","144,875",0.492,63,353,14,63,63,872,255,418,149,50,24536,3824,44.40081967,16,2,,,9,,150,63,,,63,50,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,
Jim Bognet,Pennsylvania 8th,House,Federal,Legislative,https://ballotpedia.org/Jim_Bognet,https://www.bognetforcongress.com/,Bognet4congress,,jimbognet,Republican Party,Lost,"282,492","137,945",0.488,3,1,1,1,1,7,0,4,3,0,106,80,66.64,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Waldman,Pennsylvania 9th,House,Federal,Legislative,https://ballotpedia.org/Amanda_Waldman,https://waldman4pa.com/,Waldman4PA,,Manders_insight,Democratic Party,Lost,"296,361","90,015",0.304,25,9,2,,20,133,49,62,22,0,3557,1001,45.419,1,,,,20,,1,20,,,,,,28,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,
Shamaine Daniels,Pennsylvania 10th,House,Federal,Legislative,https://ballotpedia.org/Shamaine_Daniels,https://danielsforcongress.org/,,,ShamaineDaniels,Democratic Party,Lost,"311,287","143,124",0.46,83,14,,7,7,124,1,104,12,7,3445,721,46.81571429,,,1,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Hollister,Pennsylvania 11th,House,Federal,Legislative,https://ballotpedia.org/Bob_Hollister,https://www.hollisterforcongress.com/,Hollister4PA,,,Democratic Party,Lost,"303,444","112,911",0.372,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Doyle,Pennsylvania 12th,House,Federal,Legislative,https://ballotpedia.org/Michael_Doyle_(Pennsylvania_congressional_candidate),https://www.votemikedoyle.com/,VoteMikeDoyle,,,Republican Party,Lost,"320,790","141,991",0.443,74,82,7,4,31,255,53,162,17,23,8050,1107,65.29580645,6,,6,,,19,11,9,,,2,4,,,9,,,,,,,,,,,,4,,,,,,,,,,17,,1,,,,,
Michael Molesevich,Pennsylvania 15th,House,Federal,Legislative,https://ballotpedia.org/Michael_Molesevich,https://www.padistrict15.org/,,,,Democratic Party,Lost,"290,189","85,933",0.296,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Shaffer,Pennsylvania 17th,House,Federal,Legislative,https://ballotpedia.org/Jeremy_Shaffer,https://www.jeremyshaffer.com,JeremyShafferPA,,,Republican Party,Lost,"355,672","166,480",0.468,,,,1,1,3,0,0,3,0,44,34,52.2,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Fung,Rhode Island 2nd,House,Federal,Legislative,https://ballotpedia.org/Allan_Fung,https://www.fungforri.com/,AllanFungRI,,,Republican Party,Lost,"197,782","92,868",0.47,5,8,3,,15,72,0,29,15,28,7229,1681,53.13533333,,,,,12,22,,,,,,,,,,,6,,,,1,,,,,15,,,,,,,,,,,,,,,,,,
Annie Andrews,South Carolina 1st,House,Federal,Legislative,https://ballotpedia.org/Annie_Andrews,https://www.drannieandrews.com/,AnnieAndrewsMD,,,Democratic Party,Lost,"271,601","115,316",0.425,124,41,117,1,70,605,319,165,119,2,20503,2406,69.20828571,,,,,1,,,,,,,2,,83,208,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Oddo,South Carolina 1st,House,Federal,Legislative,https://ballotpedia.org/Joseph_Oddo,https://bettercandidates.org/,writeconsult,,,Alliance Party,Lost,"271,601","2,628",0.01,,,13,5,5,268,7,17,23,221,1585,349,50.044,,,,,,191,5,,,,,30,17,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
Lee Turner,South Carolina 4th,House,Federal,Legislative,https://ballotpedia.org/Lee_Turner_(South_Carolina),https://leeturner.vote/,VoteLeeTurner,,,Independent,Lost,"182,365","16,758",0.092,,,9,7,7,359,14,0,16,329,2021,676,63.15571429,2,,,,,309,11,,,,,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
